,nama,brand,harga,terjual,gambar
79,"Dell Latitude 5501 (15.6"", 16GB, 256GB SSD, i7-9850H 2.60GHz) Win11P, Black",Very Good - Refurbished,"IDR3,823,583.75",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
80,"Dell 14"" FHD Laptop Intel Quad Core i7 4.20GHz 64GB RAM 4TB SSD Windows 11 Pro",Very Good - Refurbished,"IDR3,989,833.75 to IDR10,972,500.00",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
81,"Lenovo - IdeaPad 3i Chromebook 15.6"" Full HD Laptop - Intel Celeron 2021 - 4G...",Brand New,"IDR2,975,875.00",805 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
82,"Apple MacBook Air (13-inch, M3, 2024) 16GB RAM -256GB SSD 10-core GPU- Good",Good - Refurbished,"IDR10,789,625.00",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
83,Dell Latitude 3190 2-in-1 Touch Laptop Intel Pentium 8GB RAM 128GB SSD Win 11,Good - Refurbished,"IDR1,885,441.25",522 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
84,"Apple MacBook Air 15"" M4 chip 16GB RAM 256GB SSD Midnight MW1L3LL/A 2025 Model",Open Box,"IDR14,945,875.00",306 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
85,Panasonic  CF-31   MK5  5th GEN Core i5  WIN11 PRO  16GB 1TB SSD WWAN  BLACK,Pre-Owned,"IDR6,465,130.00",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
86,"HP Chromebook 11 G7 11.6"" Intel 2.60 GHz 4 GB RAM 32 GB eMMC Bluetooth Webcam SD",Very Good - Refurbished,"IDR1,130,333.75",148 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
87,"Lenovo - IdeaPad Slim 3 15.6"" Full HD Touchscreen Laptop - AMD Ryzen 7 5825U ...",Brand New,"IDR7,481,083.75",582 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
88,"Lenovo - IdeaPad Slim 3 Chromebook 14"" Full HD Laptop - MediaTek Kompanio 520...",Brand New,"IDR2,477,125.00","1,060 sold",https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
89,"Acer Chromebook Plus 514 14"" Laptop Intel i3-N305 8GB RAM 512GB SSD Refurbished",Certified - Refurbished,"IDR2,992,333.75",110 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
90,"MacBook Pro M1 Pro 10-Core 16-Core GPU 16"" (2021) 16GB 512GB A2485 Gray - Good",Good - Refurbished,"IDR11,304,168.75",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
91,"Acer Aspire 5 15.6"" Laptop Intel i7-13620H 2.4 GH 16GB RAM 512GB SSD Refurbished",Certified - Refurbished,"IDR5,984,833.75",187 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
92,"Dell Latitude 14"" Laptop Computer Intel i5 Up To 32GB RAM 1TB SSD Windows 11 Pro",Good - Refurbished,"IDR4,384,511.25 to IDR9,273,425.00",30 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
93,"Dell Latitude 3320 Laptop 13.3"" HD Core i5 4.4GHz 8GB RAM 256GB SSD Windows 11",Good - Refurbished,"IDR3,444,866.25",690 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
94,Apple MacBook Air Laptop - 1 YEAR WARRANTY - FREE SHIPPING - FACETIME - WIFI,Pre-Owned,"IDR3,574,375.00",Only 3 left,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
95,"Dell 7490 14"" Light Gaming Intel Core i7 4.20GHz 32GB RAM 1TB SSD Windows 11 Pro",Very Good - Refurbished,"IDR7,796,958.75",421 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
96,"HP - OmniBook X Flip 2-in-1 - Copilot+ PC - 14"" 2K Touch-Screen Laptop - Inte...",Brand New,"IDR8,312,333.75",168 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
