,Unnamed: 0,nama,brand,harga,terjual,gambar
146,146,"ASUS VivoBook 16"" WUXGA Notebook Intel Core i7-13620H 16GB DDR4 RAM 512GB SSD",Brand New,781358375,7,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
147,147,"Lenovo Legion Go 2 8.8"" 144Hz OLED AMD Ryzen Z2 Extreme 32GB 1TB SHIPS TODAY",Open Box,3491233375,1,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
148,148,"2021 Apple M1 Pro MacBook Pro 14"" 16GB/512GB SSD (Space Gray) A2442 - w/Warranty",Very Good - Refurbished,1089270000,51,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
149,149,"HP Victus 15.6"" FHD Gaming Laptop RTX 4050 AMD Ryzen 7 7445HS 16GB RAM 512GB SSD",Brand New,1110466875,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
150,150,LG Gram 15 Ultra-Light Laptop Intel Core Ultra 7 16GB 1TB SSD W11,Excellent - Refurbished,1105545875,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
151,151,2025 Apple MacBook Air 13-inch M4 Chip 16GB RAM 512GB SSD Midnight MW133LL/A,Open Box,1494587500,161,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
152,152,"New ListingHP ZBOOK 17 G6 17"" Intel Core i7-9750H 2.60GHz 32GB RAM 512GB SSD WINDOWS 11",Pre-Owned,374062500,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
153,153,Lenovo Legion Pro 5 Gen 10 WQXGA Ryzen 9 8945HX RTX5070 32GB 1TB Gaming Laptop,Certified - Refurbished,2275962500,1,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
154,154,Dell Latitude 7310 Laptop 13.3” FHD Core i7 16GB RAM 512GB SSD Windows 11 Pro,Good - Refurbished,510803125,348,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
155,155,DELL Latitude Laptop Computer PC 14 Core i5 32GB 1TB SSD Windows 11 TOUCHSCREEN!,Pre-Owned,315858375,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
156,156,"HP ZBOOK 17 G6 17"" Intel Core i7-9850H 2.60GHz 32GB RAM 512GB NVMe",Pre-Owned,498733375,1,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
157,157,HP EliteBook Laptop Computer 14” HD AMD Ryzen 5 16GB RAM 256GB SSD Win 11 WiFi,Good - Refurbished,322973875,406,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
158,158,2025 Apple MacBook Air 15-inch M4 Chip 16GB RAM 256GB SSD Midnight MW1L3LL/A,Open Box,1544462500,75,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
159,159,"2025 Acer Nitro V Gaming Laptop 16"" 180Hz RTX 5050 Ryzen 5 240 16GB RAM 512GB",Brand New,1213541875,30,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
160,160,"Apple MacBook Pro 14"" Apple M4 chip 16GB RAM 512GB SSD Space Black MW2U3LL/A",Open Box,1875632500,474,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
161,161,"New ListingASUS ROG G74S 17.3"" i7-2630QM Nvidia GTX 560M 16GB Ballistix RAM NO HDD, AS-IS",Parts Only,207729375,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
162,162,New ListingDELL LATITUDE 14 RUGGED 5414 Intel i5  TOUCHSCREEN 16GB 250GB SSD BAT EXC 202696,Pre-Owned,430587500,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
163,163,"Cyber Special - Dell Latitude 7430 Laptop -Core i7-1265U 16GB 512GB SSD - 14""",Very Good - Refurbished,475973750,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
164,164,"2025 SGIN Laptop 17.3 inch, Intel N5095, Up to 12GB RAM &512GB SSD",Brand New,332466750,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
165,165,"Dell Latitude 5510 15.6"" 256GB i5-10310U WIN11P, Silver",Very Good - Refurbished,380712500,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
166,166,Lenovo N23 Touchscreen Chromebook Intel 1.60 GHz 4GB Ram 16GB with Charger,Pre-Owned,58170875,89,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
167,167,New ListingDELL PRECISION 7750 FHD Xeon W-10885M 64GB RAM 512GB SSD RTX 3000 Backlit KB,Pre-Owned,897750000,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
168,168,Lenovo Ideapad Pro 5 - OLED - 120hz - 16IAH10 Ultra 9 285H Rtx5050 32GB 1TB SSD,Open Box,1828666875,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
169,169,"2020 Apple M1 MacBook Air 13.3"" 16GB/512GB SSD - (Space Gray) A2337 w/Warranty",Good - Refurbished,770053375,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
170,170,Lenovo Legion 5 15.1  OLED WQXGA 165Hz Gaming Notebook Intel Core Ultra 9 275HX,Brand New,2443858375,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
171,171,"Lenovo LOQ 15.6"" FHD Gaming Laptop i5-13450HX 16GB RAM RTX 5050 512GB SSD Grey",Open Box,1228587500,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
172,172,"Lenovo Ideapad 5x 14"" OLED 2-in-1 Touch Snapdragon X Plus 16GB 1TB SSD w/ Pen",Open Box,827925000,58,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
173,173,"MSI Crosshair 18 HX AI A2XWGKG-012US 18"" Gaming Laptop QHD U9-275HX 5070 1TB",Certified - Refurbished,2051608125,71,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
174,174,"Lenovo LOQ-E 15.6"" 144Hz Gaming Laptop i5-12450HX 16GB RAM 512GB SSD RTX 3050",Brand New,897733375,8,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
175,175,"Lenovo ThinkPad T14s Gen 6 14"" WUXGA Snapdragon X Elite 32GB 1TB SSD FPReader",Certified - Refurbished,1371562500,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
176,176,"HP ELITEBOOK 840 G6 14"" Intel Core i5-8365U 1.60GHz 16GB RAM 256GB NVMe",Pre-Owned,240214625,1,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
177,177,New ListingDELL LATITUDE 14 RUGGED 5414 Intel i5  TOUCHSCREEN 16GB 250GB SSD BAT EXC 202603,Pre-Owned,430587500,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
178,178,"2024 Apple M4 Max MacBook 16.2"" 36GB/1TB SSD (Silver) 5X2V3LL/A w/Year Warranty",Excellent - Refurbished,3923483375,15,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
179,179,"New ListingHP Laptop 17-CN0108DS 17"" Pentium Gold 7505@2.0GHz 12GB RAM 256GB SSD Open Box",Open Box,332483375,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
